104  49
104  41
104  33
104  25
104  17
92  9
80  9
72  9
64  21
56  17
56  9
44  11
32  17
32  25
24  25
16  25
16  17
24  17
44  27
44  35
44  43
40  51
48  51
56  49
56  41
56  33
56  25
72  25
80  25
80  25
80  41
72  41
64  41
72  49
88  49
104  57
104  65
104  73
104  81
104  89
104  97
104  105
104  113
104  121
104  129
104  137
104  145
104  153
104  161
104  169
116  161
124  169
132  169
140  169
148  169
156  169
164  169
172  169
188  169
196  169
204  169
212  169
220  169
228  169
236  169
228  161
228  145
220  145
212  145
204  145
196  145
188  145
172  145
164  145
156  145
148  145
140  145
132  145
124  145
116  145
132  137
140  137
148  137
156  137
164  137
172  125
172  117
172  109
172  101
172  93
172  85
180  85
180  77
180  69
180  61
180  53
172  53
172  61
172  69
172  77
164  81
148  85
132  81
124  85
124  93
124  101
124  109
124  117
124  125
124  77
124  69
124  61
132  61
140  65
124  53
124  45
124  37
124  29
124  21
132  21
128  9
120  9
136  9
148  9
162  9
172  21
180  21
180  29
172  29
172  37
172  45
180  45
180  37
188  41
196  49
204  57
212  65
220  73
228  69
228  77
236  77
236  69
236  61
228  61
228  53
236  53
236  45
228  45
228  37
236  37
236  29
228  29
228  21
236  21
252  21
260  29
260  37
260  45
260  53
260  61
260  69
260  77
260  85
260  93
268  97
276  101
284  101
284  93
284  85
284  77
276  77
276  69
276  61
276  53
284  53
284  61
284  69
276  85
276  93
280  109
288  109
288  129
280  133
270  133
260  129
252  125
256  141
246  141
236  145
246  157
256  157
288  149
260  109
252  101
236  101
236  93
236  85
228  85
228  93
228  101
228  109
228  117
228  125
220  125
212  117
204  109
196  101
188  93
180  93
180  101
180  109
180  117
180  125
196  161
90  165
80  157
64  157
64  165
56  169
56  161
56  153
56  145
56  137
56  129
56  121
56  113
56  105
56  97
56  89
56  81
56  73
56  65
56  57
48  63
40  63
32  65
32  57
32  49
32  41
24  45
16  57
8  57
8  65
8  73
8  81
8  89
8  97
16  97
24  89
32  89
32  97
40  99
48  99
48  83
40  83
32  81
32  73
40  73
48  73
40  113
40  121
40  129
40  137
40  145
40  153
40  161
40  169
32  169
32  161
32  153
32  145
32  137
32  129
32  121
32  113
16  109
8  109
8  49
8  41
156  25
104  49
