138  1610
185  1542
298  1513
274  1420
252  1240
234  1118
192  1004
161  906
123  862
53  857
22  987
86  1065
219  898
376  825
396  828
378  1048
482  1337
611  1384
693  1383
738  1325
737  1285
826  1226
742  1025
938  955
984  965
1027  1041
1115  1052
1307  964
1380  939
1544  863
1795  962
1787  1009
2097  981
2178  978
2302  1127
2421  1007
2574  946
2599  901
2650  802
2636  727
2573  599
2499  658
2361  640
2221  291
2049  417
1868  197
1774  107
1779  90
1429  134
1410  307
1323  280
1256  61
1178  100
953  268
960  303
913  317
812  351
776  392
805  272
721  186
457  334
327  265
241  341
213  220
178  24
29  6
14  454
40  462
99  536
242  584
19  674
611  673
781  671
834  629
839  620
868  731
779  777
1097  643
1187  706
1286  525
1031  428
1000  457
1058  372
1917  687
2482  1183
2586  1286
2687  1353
2716  1432
2721  1482
2628  1479
2513  1572
2433  1538
2365  1649
2290  1810
2318  1925
2312  1949
2469  1838
2552  1909
2573  1969
2597  1830
2678  1825
2728  1698
2576  1676
2945  1622
2961  1605
3078  1541
3085  1528
3092  1668
2933  1459
2773  1286
3174  1064
3213  1085
3394  1028
3520  1079
3646  1018
3704  1082
3729  1188
3635  1174
3808  1375
3874  1318
3950  1558
3911  1673
3853  1712
3955  1743
3736  1542
3683  1533
3510  1671
3373  1646
3384  1498
3447  1830
3499  1885
3586  1909
3409  1917
3314  1881
3113  885
2991  792
2863  558
2781  478
2936  337
2990  214
3099  173
3124  408
3022  474
3249  378
3297  491
3278  799
3479  821
3564  676
3806  746
3888  666
3939  640
3875  598
3822  899
3854  923
3835  963
3756  882
3913  192
3893  102
3815  169
3640  43
3416  143
2848  96
2576  189
2542  236
2588  302
2519  135
2232  1374
2178  1619
2048  1628
2082  1753
2139  1806
1838  1732
1807  1711
1724  1642
1625  1651
1660  1556
1533  1780
1621  1830
1424  1728
1357  1905
1327  1893
1247  1945
1234  1946
1251  1832
1362  1526
1393  1368
1183  1391
901  1552
872  1559
928  1700
929  1766
890  1846
705  1812
554  1825
463  1670
457  1607
323  1714
198  1810
43  1957
22  1617
138  1610
